,result,eco,move_no,avg_rating
0,1,200,25,1521
1,-1,106,74,1594
2,-1,1,16,1758
3,1,244,37,1483
4,1,107,59,1456
5,1,221,91,1481
6,1,150,49,1508
7,1,40,77,1630
8,1,330,91,1532
9,1,221,49,1599
10,1,246,69,1662
11,1,247,107,1616
12,-1,203,106,1520
13,-1,101,70,1602
14,-1,120,108,1623
15,-1,240,132,1253
16,-1,120,124,1570
17,-1,225,72,1545
18,1,243,79,1762
19,-1,260,34,1461
20,1,230,59,1560
21,-1,101,62,1579
22,1,43,143,1797
23,-1,100,92,1497
24,1,101,61,1322
25,-1,227,80,1714
26,-1,220,12,1259
27,1,200,41,1402
28,-1,220,44,1261
29,1,257,71,1452
30,-1,145,60,1587
31,-1,220,66,1371
32,-1,300,56,1487
33,-1,123,50,1520
34,-1,101,68,1568
35,1,200,53,1372
36,-1,120,60,1516
37,-1,120,40,1512
38,-1,250,54,1547
39,1,300,77,1234
40,-1,200,60,1419
41,1,241,25,1576
42,1,331,39,1581
43,-1,21,54,1735
44,1,41,129,1309
45,-1,242,64,1566
46,1,3,41,1565
47,-1,200,70,1538
48,-1,102,80,1528
49,1,223,11,1543
50,1,3,65,1543
51,-1,245,70,1493
52,-1,255,124,1504
53,1,300,47,1416
54,1,101,39,1631
55,1,43,35,1789
56,1,220,39,1766
57,-1,6,46,1405
58,-1,202,38,1477
59,-1,200,60,1786
60,1,223,7,1578
61,-1,121,76,1616
62,1,120,131,1475
63,1,52,63,1691
64,1,101,47,1285
65,0,21,116,1615
66,1,240,15,1270
67,-1,220,38,1270
68,1,120,33,1593
69,1,240,61,1270
70,-1,255,58,1593
71,-1,220,46,1271
72,-1,120,78,1724
73,1,240,13,1271
74,1,234,39,1592
75,-1,240,62,1271
76,1,330,79,1597
77,1,221,47,1797
78,1,300,57,1406
79,-1,43,74,1655
80,1,101,79,1781
81,-1,200,40,1704
82,1,21,51,1574
83,1,200,49,1371
84,-1,222,68,1575
85,-1,330,36,1393
86,1,230,63,1371
87,1,106,63,1772
88,1,240,65,1150
89,1,222,113,1564
90,1,240,43,1432
91,-1,120,66,1432
92,-1,107,70,1485
93,-1,101,74,1680
94,1,242,69,1676
95,-1,120,80,1496
96,-1,302,96,1274
97,-1,118,118,1868
98,-1,120,72,1477
99,-1,40,44,1293
100,1,100,27,1742
101,1,246,51,1813
102,1,41,117,1268
103,-1,200,56,1754
104,-1,220,122,1390
105,-1,101,72,1682
106,-1,0,50,1341
107,1,255,67,1353
108,1,255,61,1783
109,1,301,69,1482
110,-1,242,76,1495
111,1,300,41,1653
112,-1,0,60,1341
113,1,100,73,1349
114,-1,262,90,1621
115,-1,0,40,1558
116,1,224,75,1633
117,1,100,101,1389
118,-1,0,58,1386
119,-1,100,80,1541
120,-1,200,56,1586
121,1,121,55,1420
122,-1,122,60,1517
123,-1,100,72,1387
124,-1,300,58,1480
125,1,341,45,1614
126,-1,34,68,1653
127,1,220,89,1611
128,1,223,45,1419
129,1,300,19,1549
130,-1,234,38,1532
131,1,101,49,1555
132,1,140,33,1725
133,1,0,53,1386
134,1,100,55,1611
135,1,121,133,1638
136,1,133,129,1483
137,1,241,67,1583
138,0,300,141,1701
139,1,40,67,1695
140,1,140,43,1719
141,-1,220,22,1606
142,1,221,85,1739
143,1,130,93,1606
144,1,220,63,1606
145,1,106,107,1757
146,-1,40,74,1322
147,-1,100,48,1606
148,1,222,97,1635
149,1,152,51,1790
150,-1,6,104,1606
151,1,241,101,1322
152,0,306,144,1715
153,1,84,77,1358
154,1,255,93,1593
155,1,240,101,1370
156,1,230,133,1594
157,1,241,17,1554
158,1,101,69,1325
159,1,100,55,1336
160,1,302,39,1646
161,1,301,133,1623
162,-1,0,124,1264
163,-1,241,76,1523
164,1,100,13,1762
165,1,241,109,1241
166,1,320,97,1502
167,-1,302,44,1493
168,-1,304,142,1628
169,0,144,107,1741
170,-1,220,34,1601
171,1,3,27,1600
172,1,220,47,1435
173,-1,120,62,1575
174,1,202,37,1522
175,1,320,51,1431
176,-1,107,56,1431
177,-1,244,102,1682
178,-1,230,66,1717
179,-1,220,136,1484
180,1,0,145,1616
181,1,200,79,1559
182,-1,110,68,1813
183,-1,115,50,1675
184,1,250,37,1410
185,-1,152,62,1797
186,1,241,65,1456
187,-1,335,48,1787
188,0,190,104,1823
189,0,190,112,1823
190,1,106,71,1728
191,-1,222,86,1456
192,-1,240,22,1286
193,-1,220,108,1242
194,1,220,45,1595
195,1,241,57,1587
196,0,302,100,1525
197,1,220,9,1343
198,1,241,119,1456
199,-1,40,74,1506
200,-1,248,60,1424
201,-1,300,70,1439
202,-1,222,68,1503
203,0,100,130,1533
204,1,200,53,1591
205,1,241,51,1843
206,1,120,29,1609
207,1,220,61,1566
208,-1,250,34,1476
209,-1,45,62,1542
210,0,150,127,1588
211,-1,102,90,1686
212,-1,242,30,1425
213,-1,100,56,1456
214,-1,220,58,1455
215,1,310,87,1613
216,1,223,43,1217
217,-1,120,54,1655
218,1,255,59,1436
219,1,320,129,1542
220,1,100,63,1525
221,-1,202,76,1411
222,1,300,125,1760
223,1,241,51,1456
224,-1,220,88,1391
225,1,400,107,1320
226,1,306,53,1648
227,-1,248,124,1782
228,1,101,49,1511
229,1,0,87,1626
230,-1,101,60,1146
231,1,300,43,1528
232,-1,420,60,1585
233,-1,45,74,1456
234,1,45,69,1289
235,-1,228,84,1631
236,0,200,109,1411
237,1,200,61,1594
238,1,241,69,1653
239,1,220,79,1241
240,1,241,27,1608
241,-1,301,32,1512
242,-1,227,122,1517
243,1,102,53,1378
244,-1,43,50,1480
245,1,221,77,1676
246,-1,300,62,1400
247,1,310,97,1679
248,0,40,118,1457
249,1,302,45,1502
250,1,240,25,1643
251,1,223,113,1563
252,1,250,31,1764
253,1,0,57,1529
254,1,255,35,1754
255,0,400,74,1382
256,1,101,127,1480
257,-1,220,88,1206
258,1,145,91,1684
259,-1,300,56,1576
260,-1,100,82,1667
261,-1,123,36,1596
262,-1,45,40,1370
263,1,242,75,1440
264,-1,228,116,1632
265,1,241,109,1489
266,-1,310,40,1539
267,1,302,47,1438
268,1,310,115,1372
269,-1,145,48,1725
270,-1,101,64,1694
271,-1,0,52,1411
272,-1,21,54,1348
273,-1,225,54,1515
274,-1,200,86,1284
275,-1,331,114,1554
276,1,21,111,1629
277,-1,100,54,1364
278,0,22,144,1693
279,1,0,31,1408
280,1,246,47,1442
281,0,40,140,1897
282,0,40,141,1897
283,0,40,142,1897
284,0,40,145,1897
285,0,40,146,1897
286,0,40,149,1897
287,0,40,150,1897
288,-1,120,86,1574
289,-1,101,44,1875
290,0,100,133,1525
291,1,200,39,1460
292,1,302,65,1630
293,-1,220,20,1378
294,1,246,77,1500
295,-1,0,56,1624
296,-1,120,66,1457
297,-1,223,56,1258
298,0,101,144,1786
299,1,223,17,1555
300,1,53,95,1581
301,1,112,141,1654
302,-1,0,100,1497
303,-1,222,28,1489
304,1,250,73,1491
305,1,200,79,1291
306,1,127,53,1439
307,1,242,51,1819
308,1,200,47,1616
309,-1,220,92,1609
310,-1,0,46,1298
311,-1,223,52,1572
312,1,220,49,1490
313,-1,100,118,1611
314,-1,300,60,1597
315,-1,101,72,1498
316,1,255,65,1554
317,1,100,27,1610
318,-1,0,24,1285
319,0,43,63,1761
320,-1,0,58,1610
321,1,0,97,1296
322,-1,101,104,1466
323,-1,300,126,1643
324,-1,242,42,1647
325,-1,240,78,1740
326,1,40,51,1498
327,-1,202,46,1375
328,1,220,98,1639
329,1,220,99,1639
330,1,220,100,1639
331,1,220,101,1639
332,1,220,102,1639
333,1,220,103,1639
334,1,220,104,1639
335,1,226,67,1610
336,-1,224,16,1502
337,-1,22,42,1629
338,1,4,65,1608
339,1,265,71,1686
340,1,220,61,1284
341,1,250,59,1341
342,-1,100,82,1486
343,1,240,19,1508
344,-1,144,70,1553
345,1,43,59,1681
346,1,107,33,1628
347,-1,0,56,1320
348,-1,250,74,1715
349,1,84,43,1465
350,-1,304,114,1775
351,-1,246,76,1377
352,1,249,57,1430
353,1,200,73,1595
354,1,302,69,1650
355,1,242,73,1596
356,-1,241,42,1526
357,1,220,143,1363
358,-1,220,106,1673
359,-1,10,52,1557
360,1,250,15,1708
361,-1,0,92,1513
362,-1,106,64,1724
363,1,43,133,1558
364,-1,45,84,1604
365,1,241,55,1638
366,1,240,53,1599
367,-1,241,70,1819
368,1,101,59,1366
369,1,241,15,1442
370,1,241,87,1442
371,1,306,117,1710
372,1,246,33,1408
373,-1,200,94,1516
374,1,241,103,1720
375,-1,220,64,1449
376,-1,250,46,1616
377,0,106,115,1583
378,-1,45,44,1676
379,-1,46,20,1645
380,1,222,33,1393
381,-1,100,58,1587
382,-1,101,68,1439
383,1,43,53,1534
384,-1,302,84,1614
385,-1,221,64,1444
386,1,1,65,1587
387,-1,111,58,1518
388,-1,330,36,1483
389,-1,106,90,1501
390,0,241,136,1498
391,-1,123,70,1563
392,1,222,75,1514
393,1,240,31,1524
394,1,200,145,1510
395,-1,226,66,1435
396,-1,120,82,1574
397,-1,0,94,1492
398,-1,246,50,1560
399,-1,111,62,1653
400,-1,0,84,1431
401,-1,136,60,1653
402,-1,101,48,1704
403,1,226,53,1458
404,1,244,79,1575
405,-1,220,40,1393
406,-1,7,60,1486
407,1,101,43,1610
408,-1,306,70,1452
409,-1,106,40,1657
410,-1,244,108,1496
411,1,300,107,1454
412,-1,201,44,1407
413,1,41,51,1541
414,1,101,21,1612
415,-1,222,30,1614
416,-1,250,58,1448
417,-1,0,52,1296
418,1,223,7,1285
419,-1,320,44,1477
420,-1,250,46,1541
421,1,300,91,1491
422,-1,247,48,1334
423,-1,132,68,1552
424,1,220,57,1823
425,-1,302,92,1185
426,-1,107,58,1595
427,-1,40,50,1503
428,-1,101,18,1444
429,1,243,19,1172
430,0,244,117,1162
431,-1,241,78,1391
432,1,120,57,1575
433,1,144,51,1538
434,-1,255,46,1471
435,-1,115,56,1580
436,-1,245,124,1533
437,-1,244,96,1304
438,-1,242,56,1354
439,1,101,81,1627
440,-1,150,76,1364
441,-1,110,66,1483
442,1,101,89,1492
443,1,255,111,1472
444,-1,240,66,1631
445,-1,0,132,1249
446,-1,100,96,1574
447,1,202,55,1655
448,1,41,75,1500
449,1,306,55,1806
450,1,250,63,1517
451,-1,110,54,1578
452,-1,140,42,1671
